,Clean_Tweets,Uncleand_Tweets
1828,retail investor like remarkably insightful also,"Retail investors like are remarkably insightful . Also , ."
1829,especially boost stage volumetrically constrained ch way better h soviet ch,"Especially for boost stage , which is volumetrically constrained , CH4 is way better than H2 . Soviet CH4 https://t.co/aLeWbZ8Nfl"
1830,basically pixel size,"Basically , our pixel size"
1831,emphasize enough,Can  t emphasize this enough
1832,absolutely,Absolutely
1833,haha,Haha
1834,agreed,Agreed
1835,oven keep asking wifi password gonna get,My oven keeps asking for my wifi password . It  s not gonna get it .
1836,impressive tianwen mar rover mission launched china today,Impressive Tianwen - 1 Mars rover mission launched by China today https://t.co/FsyA3I0HrU
1837,rt,RT : https://t.co/jmkacbRb5D
1838,good article,Good article
1839,similar problem u data,Similar problem with US data
1840,good point,Good point
1841,soul soul,"You don  t have a soul , you are a soul"
1842,adding people next version,Adding people in next version
1843,minute later,2 minutes later https://t.co/o5fbBTan1S
1844,another day,Just another day in 2020
1845,individualized mass transit future,Individualized mass transit is the future
1846,best people seated safety speed travel,"No , best to have people seated for safety & speed of travel"
1847,coming soon,Coming soon https://t.co/6nOgLix6b5
1848,human overseen first fully self driving,"Human overseen at first , then fully self-driving"
1849,say involves u f b,"Can  t say , but it involves a <U+0001F43B>"
1850,u f u f,<U+0001F525> <U+0001F525>
1851,u f,<U+0001F923>
1852,one sting,This one stings
1853,meme send meme,Where are the memes ? Send in the memes
1854,need finish upgrading autopilot v go steep slope,"We need to finish upgrading Autopilot to 4D vs ~ 2.5 D , then it will go up very steep slopes"
1855,nothing gaslit people movie gaslight,Nothing has gaslit more people than the movie Gaslight
1856,well said brian williams,"Well said , Brian Williams !"
1857,great shot,Great shot !
1858,rt video yesterday catch fairing half,RT : Videos of yesterday  s catch of both fairing halves https://t.co/yzTDFzlulL
1859,u f,<U+0001F44D>
1860,sometimes feel,"Sometimes , that  s how I feel too !"
1861,attempt fly later week,Will attempt to fly later this week
1862,sound flame color quite different,Sound & flame color will be quite different
1863,yes,Yes
1864,rapidly changing alloy constituent forming method traditional name like,"We  re rapidly changing alloy constituents & forming methods , so traditional names like 304 https://t.co/FYUuio5Dtz"
1865,u f u f,<U+0001F923> <U+0001F923>
1866,point probably advertising art communication entertainment support high quality medium,"At some point , we should probably do advertising as art / communication / entertainment & to support high quality media"
1867,rt watch falcon launch anasis ii u,RT : Watch Falcon 9 launch ANASIS-II <U+2192> https://t.co/bJFjLCzWdK https://t.co/iYHJZnZobv
1868,da baby kann noch keinen l ffel benutzen,Das baby kann noch keinen löffel benutzen https://t.co/UETqVIA4BP
1869,almost right,It  s almost right
1870,talked hour ago seems fine,We talked about an hour ago . He seems fine .
1871,vr twitter avatar saying mention u f,VR Twitter with avatars saying the mentions <U+0001F608>
1872,better put money product sale marketing,Better to put the money into the product than sales & marketing !
1873,bring life mar,We should bring Life to Mars
1874,fairing half caught space ship,Both fairing halves caught from space by ships !
1875,rt falcon first stage landed read instruction droneship,RT : Falcon 9  s first stage has landed on the Just Read the Instructions droneship https://t.co/fPbckYFySh
1876,nice work spacex team,"Nice work , SpaceX team !"
1877,still long way go reuse matter degree rapid complete,Still long way to go . Reuse only matters to degree that it  s rapid & complete .
1878,long since last,Too long since we were last there
1879,launch min,Launch in 20 mins https://t.co/1oLtPnW929
1880,month production release already alpha build,In a few months in production release . Already does that in alpha build .
1881,lithium extremely common earth found almost everywhere,Lithium is extremely common on Earth . Found almost everywhere .
1882,congratulation mhi uae,Congratulations MHI & UAE !
1883,stilton,Stilton
1884,new deep crimson giga berlin favorite,New deep crimson from Giga Berlin is my favorite
1885,important service high latitude,Important to service very high latitudes
1886,american born south africa left,"American , but born in South Africa . Left by myself when I was 17 ."
1887,true model still great car driving sn month ago driving feel wa,"True , the 2012 Model S is still a great car . Was driving SN28 a few months ago and driving feel wa https://t.co/mrUtLE8Y2V"
1888,rt tesla model received top mark safety organization north america europe australia,"RT : Tesla's Model 3 received top marks from safety organizations in North America , Europe , and Australia https://t.co/NB92"
1889,discus wed earnings call lot talk,Will discuss on Wed earnings call . Lots to talk about !
1890,u f u f,<U+0001F923> <U+0001F923>
1891,yes,Yes
1892,look cool,This looks cool
1893,potential,It has that potential
1894,good article,Good article . I https://t.co/AnIte06dlj
1895,really set tour maybe,"It  s not really set up for tours , but maybe it should"
1896,manufactured min lax,Manufactured only 5 mins from LAX !
1897,contribute chromosome mitochondrion constant except mutation,"Some contribute more . Y chromosome & mitochondria are constant , except for mutations ."
1898,yes,Yes
1899,one part surgery scale must fully automated like lasik,"That is just one part of the surgery . For this to scale , it must be fully automated , like LASIK ."
1900,would solve lot brain spine injury ultimately essential ai symbiosis,This would solve a lot of brain / spine injuries & is ultimately essential for AI symbiosis
1901,fermi awesome understood right question ask,Fermi was awesome . He understood the right questions to ask .
1902,rt,RT : https://t.co/vR7ThoKnCp
1903,u f u f,<U+0001F923> <U+0001F923>
1904,bde,BDE
1905,come hulk never loses pant,How come Hulk never loses pants ! ?
1906,yes,Yes
1907,prior neuroscience background required primarily electrical electronic chip design,No prior neuroscience background is required . This is primarily an electrical / electronic ( chip design ) / me https://t.co/VMq2atdV5d
1908,rt targeting monday july falcon launch anasis ii slc,"RT : Targeting Monday , July 20 for Falcon 9 launch of ANASIS-II from SLC - 40"
1909,solving high volume high reliability low cost production problem especially valued,"Solving high-volume , high-reliability , low-cost production problems is especially valued"
1910,solved hard problem phone wearable sealing signal processing inductive charging power mgmt,"If you  ve solved hard problems with phones / wearables ( sealing , signal processing , inductive charging , power mgmt , https://t.co/rq3AWMZxvo"
1911,many,Many
1912,summarizes pretty much every biz school case study,Summarizes pretty much every biz school case study
1913,inevitable,It  s inevitable https://t.co/eBKnQm6QyF
1914,excuse sell doge,"Excuse me , I only sell Doge !"
1915,write algorithm ever realize negativity bias,Will those who write the algorithms ever realize their negativity bias ?
1916,pretty much,Pretty much
1917,better hustle neuralink moving fast enough,We better hustle with Neuralink . Not moving fast enough .
1918,thanks,Thanks
1919,stop,Just stop
1920,u f u f,<U+0001F495> <U+0001F495>
1921,u f u f,<U+0001F923> <U+0001F923>
1922,gigafactory product even car,Gigafactory is the product even more than the car
1923,yes,Yes
1924,carefully hidden,Carefully hidden
1925,sure,Sure
1926,might indoor outdoor rave space roof,Might be an indoor / outdoor rave space on the roof
1927,giga berlin,Giga Berlin https://t.co/UXQMUVTWXf
1928,exactly serious problem ratio retiree worker,"Exactly , this is a serious problem . Ratio of retirees to workers is https://t.co/qiVas5gtpC"
1929,considering,Considering
1930,small note latch post near base gone powered ethernet wire le obtrusive production version,Small note : latch on post near base is gone & powered Ethernet wire is less obtrusive in production version
1931,,https://t.co/xxRXfrQhBs
1932,thing call money slow lossy unsecure database labor allocati,"This thing we call  money  is just a ( slow , lossy & unsecure ) database for labor allocati https://t.co/5vCGJ8o31r"
1933,trying set good example haha mar need people,Trying to set a good example haha . Mars needs people !
1934,great work tesla software engineering,Great work by Tesla software engineering
1935,population collapse nd biggest danger civilization ai imo,Population collapse is 2nd biggest danger to civilization after AI imo
1936,yeah take le minute order go live,"Yeah , will take less than a minute to order on https://t.co/Q1VvqVmJ2i when it goes live"
1937,starlink terminal motor self orient optimal view angle expert installer required,Starlink terminal has motors to self-orient for optimal view angle . No expert installer required . https://t.co/xndTXRDnl2
1938,ok,Ok
1939,u f,<U+0001F914>
1940,,https://t.co/irMxFy991y
1941,exactly,Exactly
1942,tesla autopilot literally named term used aviation also autobahn,"Tesla Autopilot was literally named after the term used in aviation . Also , what about Autobahn ! ?"
1943,strength perseverance people tesla despite facing extreme difficulty,"The strength & perseverance of the people of Tesla , despite facing extreme difficulties"
1944,playable tesla,Playable on any Tesla !
1945,automatically,Should do this automatically
1946,mass orbit accura,Mass to orbit is a more accura https://t.co/ltqH2VuLgc
1947,cute,Cute
1948,wow,Wow
1949,reusability essential rocket single use absurd single use airplane f e,Reusability is essential . A rocket that is single use is just as absurd as a single use airplane . F9 e https://t.co/WfnFSt3C5Y
1950,wild time,Wild times !
1951,extra paranoid maximizing probability successful launch paramount,We  re being extra paranoid . Maximizing probability of successful launch is paramount .
1952,welcome anytime,Welcome anytime
1953,well care much sustainability civilization truth irony part haha,"Well , I do care very much about sustainability of civilization , but there is some truth to the irony part haha"
1954,yes plan supercharger public high power wall c,"Yes , in plan . Superchargers and public high power wall c https://t.co/jZxsR4h8VS"
1955,u f,<U+0001F440>
